timestamp_s,latency_ms,fps
0,37.3,26.8
1,37.3,26.8
2,37.5,26.7
3,37.7,26.5
4,36.4,27.5
5,37.4,26.8
6,37.1,26.9
7,37.7,26.5
8,37.8,26.5
9,37.6,26.6
10,37.1,26.9
11,37.5,26.7
12,37.9,26.4
13,37.3,26.8
14,37.1,26.9
15,37.4,26.7
16,37.9,26.4
17,38.0,26.3
18,37.2,26.9
19,37.0,27.1
20,37.9,26.4
21,37.4,26.7
22,37.7,26.5
23,37.1,27.0
24,37.4,26.7
25,38.3,26.1
26,36.6,27.4
27,36.8,27.2
28,37.9,26.4
29,36.9,27.1
30,36.9,27.1
31,37.2,26.9
32,37.6,26.6
33,37.7,26.5
34,36.9,27.1
35,37.3,26.8
36,37.1,26.9
37,37.3,26.8
38,37.5,26.6
39,37.4,26.7
40,38.1,26.2
41,37.7,26.6
42,37.5,26.6
43,37.0,27.0
44,37.6,26.6
45,37.4,26.8
46,38.3,26.1
47,37.2,26.9
48,37.1,26.9
49,37.2,26.9
50,37.1,26.9
51,37.2,26.9
52,37.4,26.7
53,37.1,27.0
54,37.9,26.4
55,36.8,27.2
56,37.6,26.6
57,37.4,26.7
58,37.2,26.9
59,37.2,26.9
60,37.4,26.8
61,36.9,27.1
62,37.2,26.9
63,38.0,26.3
64,37.4,26.7
65,37.8,26.5
66,37.6,26.6
67,37.7,26.5
68,37.2,26.9
69,38.0,26.3
70,37.1,27.0
71,36.9,27.1
72,37.0,27.1
73,37.6,26.6
74,37.6,26.6
75,37.9,26.4
76,37.6,26.6
77,37.4,26.7
78,36.7,27.2
79,37.4,26.8
80,37.9,26.4
81,37.0,27.0
82,37.9,26.4
83,37.4,26.7
84,37.7,26.5
85,37.3,26.8
86,37.5,26.7
87,36.9,27.1
88,37.6,26.6
89,37.8,26.4
90,38.3,26.1
91,38.1,26.3
92,37.2,26.9
93,37.2,26.9
94,37.0,27.0
95,37.4,26.7
96,38.2,26.2
97,38.3,26.1
98,37.3,26.8
99,38.0,26.3
100,37.3,26.8
101,36.9,27.1
102,37.4,26.7
103,37.9,26.4
104,37.0,27.1
105,37.1,27.0
106,37.3,26.8
107,37.4,26.7
108,38.1,26.3
109,37.5,26.7
110,37.4,26.7
111,37.1,27.0
112,37.1,26.9
113,37.3,26.8
114,37.2,26.9
115,37.0,27.0
116,37.4,26.8
117,36.5,27.4
118,37.3,26.8
119,38.1,26.2
120,37.2,26.9
121,36.6,27.3
122,38.0,26.3
123,37.1,27.0
124,37.0,27.0
125,37.9,26.4
126,37.7,26.6
127,37.8,26.5
128,37.9,26.4
129,37.4,26.8
130,37.4,26.8
