timestamp_s,ram_mb,gpu_mem_mb
0,1864,611
1,1872,613
2,1850,612
3,1856,615
4,1867,604
5,1866,612
6,1860,608
7,1867,616
8,1856,612
9,1837,607
10,1832,597
11,1868,620
12,1845,627
13,1864,618
14,1833,625
15,1830,613
16,1857,611
17,1842,612
18,1844,599
19,1860,616
20,1890,614
21,1842,621
22,1861,604
23,1841,615
24,1864,597
25,1843,614
26,1883,610
27,1864,615
28,1851,596
29,1861,612
30,1846,593
31,1879,606
32,1893,610
33,1817,593
34,1858,614
35,1841,607
36,1852,625
37,1868,626
38,1887,605
39,1815,615
40,1817,618
41,1838,614
42,1855,605
43,1848,618
44,1849,616
45,1838,604
46,1845,599
47,1884,605
48,1865,617
49,1852,618
50,1858,595
51,1824,617
52,1846,613
53,1850,611
54,1851,609
55,1827,595
56,1834,622
57,1841,607
58,1879,613
59,1870,596
60,1876,604
61,1864,613
62,1853,607
63,1867,617
64,1818,612
65,1826,603
66,1871,620
67,1843,611
68,1847,619
69,1832,618
70,1851,604
71,1833,609
72,1863,600
73,1857,601
74,1883,603
75,1854,598
76,1837,609
77,1838,610
78,1863,614
79,1864,613
80,1843,610
81,1857,613
82,1855,616
83,1839,613
84,1834,604
85,1858,613
86,1833,609
87,1862,603
88,1828,611
89,1852,608
90,1831,617
91,1856,600
92,1865,607
93,1831,615
94,1850,623
95,1839,612
96,1843,607
97,1854,608
98,1850,617
99,1883,609
100,1817,586
101,1856,605
102,1823,611
103,1856,621
104,1833,610
105,1823,602
106,1848,613
107,1866,621
108,1868,609
109,1833,619
110,1853,626
111,1837,606
112,1841,602
113,1824,606
114,1841,606
115,1823,600
116,1880,608
117,1839,614
118,1849,616
119,1875,602
120,1813,620
121,1858,612
122,1871,608
123,1845,619
124,1850,613
125,1838,590
126,1829,606
127,1864,624
128,1852,627
129,1854,626
130,1831,611
131,1816,615
132,1832,608
133,1835,605
134,1818,607
135,1868,607
136,1848,614
137,1840,603
138,1805,608
139,1873,624
140,1829,616
141,1837,609
142,1848,610
143,1829,613
144,1834,607
145,1833,607
146,1861,613
147,1831,609
148,1834,626
149,1880,605
150,1840,603
151,1866,619
152,1861,615
153,1821,612
154,1844,608
155,1870,608
156,1851,603
157,1870,608
158,1851,607
159,1870,610
160,1838,609
161,1864,616
162,1874,601
163,1837,606
164,1861,612
165,1855,619
166,1841,613
167,1832,611
168,1835,633
169,1842,613
170,1840,615
171,1871,613
172,1855,610
173,1827,617
174,1832,617
175,1867,599
176,1862,612
177,1850,614
178,1813,597
179,1822,613
180,1858,599
181,1855,617
182,1840,612
183,1833,622
184,1848,597
185,1864,622
186,1839,617
187,1876,602
188,1864,624
189,1874,602
190,1830,611
191,1891,608
192,1866,622
193,1829,619
194,1876,621
195,1859,617
196,1847,623
197,1894,620
198,1877,606
199,1849,608
200,1827,605
201,1833,605
202,1895,607
203,1859,603
204,1850,616
205,1860,617
206,1844,605
207,1844,620
208,1835,606
209,1865,606
210,1900,607
211,1840,624
212,1855,603
213,1836,611
214,1871,603
215,1859,591
216,1833,604
217,1853,618
218,1845,611
219,1887,620
220,1844,607
221,1879,615
222,1836,608
223,1835,610
224,1842,610
225,1858,619
226,1875,596
227,1847,614
228,1844,615
229,1835,626
230,1846,603
231,1855,606
232,1821,622
233,1864,609
234,1853,623
235,1834,621
236,1859,615
237,1841,609
238,1862,621
239,1850,608
240,1850,603
241,1828,611
242,1850,613
243,1851,619
244,1838,607
245,1854,618
246,1893,608
247,1853,617
248,1859,607
249,1836,611
250,1866,613
251,1853,590
252,1873,602
253,1833,592
254,1845,614
255,1880,617
256,1856,630
257,1890,617
258,1850,602
259,1863,603
260,1865,616
261,1809,621
262,1854,594
263,1825,605
264,1869,604
265,1853,621
266,1847,615
267,1862,605
268,1822,603
269,1870,616
270,1855,617
271,1838,620
272,1834,610
273,1878,605
274,1865,597
275,1900,608
276,1864,621
277,1836,611
278,1870,615
279,1867,608
280,1847,607
281,1861,603
282,1861,617
283,1819,618
284,1841,632
285,1835,615
286,1846,620
287,1863,604
288,1850,621
289,1881,601
290,1847,610
291,1852,618
292,1828,613
293,1880,626
294,1862,600
295,1842,609
296,1870,612
297,1842,605
298,1843,615
299,1837,602
300,1875,608
301,1850,603
302,1851,622
303,1852,616
304,1834,616
305,1869,616
306,1836,615
307,1825,618
308,1850,625
309,1860,614
310,1877,606
311,1844,625
312,1819,608
313,1859,601
314,1847,618
315,1857,610
316,1872,606
317,1832,613
318,1843,610
319,1880,600
320,1851,611
321,1803,621
322,1886,605
323,1851,610
324,1819,605
325,1861,610
326,1819,606
327,1864,628
328,1844,635
329,1807,613
330,1831,614
331,1842,607
332,1826,601
333,1861,619
334,1824,608
335,1874,621
336,1863,623
337,1862,607
338,1841,615
339,1836,623
340,1867,605
341,1855,605
342,1875,608
343,1838,612
344,1851,612
345,1852,609
346,1835,609
347,1844,604
348,1836,611
349,1869,616
350,1859,615
351,1859,617
352,1863,604
353,1807,623
354,1884,611
355,1837,615
356,1857,623
357,1842,607
358,1887,617
359,1869,605
360,1889,615
361,1850,615
362,1886,614
363,1825,616
364,1900,621
365,1873,613
366,1838,615
367,1847,619
368,1841,625
369,1839,613
370,1838,630
371,1849,617
372,1884,620
373,1858,612
374,1838,618
375,1842,610
376,1867,615
377,1852,610
378,1877,616
379,1836,598
380,1855,612
381,1853,600
382,1872,611
383,1870,606
384,1844,596
385,1851,594
386,1847,633
387,1827,601
388,1864,609
389,1857,608
390,1873,609
391,1861,611
392,1811,611
393,1844,610
394,1864,602
395,1832,616
396,1854,617
397,1885,609
398,1884,619
399,1869,610
400,1870,611
401,1850,611
402,1863,606
403,1850,600
404,1872,633
405,1876,620
406,1826,609
407,1846,607
408,1850,596
409,1823,616
410,1881,607
411,1830,595
412,1863,626
413,1878,606
414,1882,610
415,1838,606
416,1882,605
417,1864,617
418,1842,606
419,1839,628
420,1867,615
421,1851,623
422,1853,607
423,1845,608
424,1863,613
425,1852,606
426,1843,609
427,1850,618
428,1879,606
429,1867,606
430,1848,618
431,1846,611
432,1867,615
433,1847,615
434,1828,613
435,1866,621
436,1851,614
437,1852,606
438,1860,598
439,1863,618
440,1851,606
441,1842,601
442,1880,603
443,1874,620
444,1860,598
445,1832,613
446,1838,626
447,1864,617
448,1837,612
449,1836,611
450,1841,607
451,1837,609
452,1817,611
453,1841,609
454,1880,608
455,1828,611
456,1881,596
457,1816,615
458,1833,600
459,1850,604
460,1841,610
461,1853,601
462,1851,603
463,1881,614
464,1865,595
465,1845,619
466,1853,609
467,1851,611
468,1845,599
469,1856,605
470,1869,611
471,1831,602
472,1859,610
473,1865,617
474,1824,615
475,1839,603
476,1834,606
477,1823,621
478,1868,622
479,1842,617
480,1869,608
481,1873,620
482,1830,599
483,1853,613
484,1844,602
485,1837,611
486,1828,615
487,1846,624
488,1855,617
489,1877,606
490,1837,607
491,1880,602
492,1864,622
493,1825,616
494,1858,622
495,1893,620
496,1862,619
497,1841,614
498,1869,612
499,1863,619
500,1869,619
501,1857,621
502,1824,612
503,1839,617
504,1829,605
505,1859,605
506,1868,605
507,1826,604
508,1843,600
509,1843,619
510,1837,604
511,1877,615
512,1856,613
513,1866,603
514,1843,618
515,1870,611
516,1828,622
517,1847,620
518,1851,624
519,1859,612
520,1843,616
521,1843,615
522,1828,606
523,1854,588
524,1875,613
525,1841,610
526,1844,605
527,1867,605
528,1869,619
529,1888,624
530,1848,599
531,1864,625
532,1846,617
533,1843,609
534,1862,607
535,1836,597
536,1840,608
537,1855,612
538,1855,614
539,1862,611
540,1877,622
541,1848,605
542,1834,605
543,1858,604
544,1852,610
545,1854,612
546,1863,605
547,1838,609
548,1833,604
549,1859,613
550,1865,608
551,1850,614
552,1843,613
553,1859,598
554,1848,610
555,1842,615
556,1849,612
