timestamp_s,power_w,gpu_pct,cpu_pct
0,21.2,53.5,37.7
1,21.4,51.9,36.8
2,22.1,52.5,38.6
3,21.2,53.9,36.2
4,20.9,54.3,36.8
5,21.1,54.0,38.6
6,20.9,51.8,36.7
7,22.2,50.9,37.4
8,20.4,53.9,40.8
9,20.9,52.9,38.9
10,21.1,54.8,38.0
11,21.4,54.4,38.5
12,21.3,52.2,36.6
13,22.2,53.8,37.3
14,21.3,52.3,37.6
15,20.6,56.4,38.3
16,20.5,54.5,38.7
17,21.7,52.7,40.4
18,21.5,55.2,37.9
19,21.6,53.1,38.8
20,21.7,53.2,39.8
21,21.6,53.3,37.3
22,21.7,53.7,37.9
23,21.6,51.9,38.5
24,22.7,55.9,38.0
25,21.0,52.6,38.2
26,22.5,57.7,37.0
27,21.0,50.6,37.5
28,21.6,53.8,38.4
29,20.8,51.3,37.1
30,21.7,53.1,39.2
31,20.9,58.0,38.0
32,21.5,52.4,38.5
33,20.5,53.5,37.1
34,20.1,52.7,39.6
35,20.9,53.4,37.6
36,21.5,52.9,36.5
37,21.3,54.0,36.6
38,21.6,53.8,37.5
39,21.6,55.0,40.3
40,20.1,51.3,40.4
41,20.2,55.1,36.3
42,22.4,54.0,38.1
43,22.4,54.8,37.8
44,21.2,54.2,38.8
45,20.8,52.9,39.9
46,21.3,52.6,38.3
47,20.8,52.4,39.1
48,21.6,54.7,37.0
49,22.0,52.1,36.9
50,21.4,54.6,38.7
51,20.9,53.1,38.3
52,22.0,53.8,39.7
53,21.3,54.2,38.8
54,22.6,50.4,38.6
55,19.8,52.7,36.6
56,20.6,53.0,39.7
57,20.6,52.8,39.0
58,21.2,51.4,38.8
59,21.5,54.6,36.4
60,21.3,50.8,39.0
61,21.1,51.8,39.6
62,21.5,51.5,39.0
63,21.4,53.3,39.0
64,20.7,54.9,38.2
65,21.3,54.0,37.8
66,21.3,52.2,36.1
67,22.0,53.3,38.2
68,22.1,52.2,36.4
69,21.9,53.3,36.9
70,21.6,56.0,39.9
71,20.5,52.7,40.2
72,21.1,53.3,37.6
73,21.0,53.6,37.4
74,22.3,56.6,38.2
75,21.8,50.3,38.1
76,21.5,51.5,37.8
77,20.8,53.3,38.6
78,21.1,54.8,37.8
79,21.6,51.8,37.8
80,21.2,54.4,36.9
81,21.4,53.7,36.9
82,21.7,53.8,38.0
83,20.5,50.2,38.8
84,21.3,53.3,38.8
85,21.0,52.0,37.4
86,22.2,53.5,36.4
87,20.1,53.3,37.6
88,21.7,52.1,36.3
89,21.1,52.5,38.8
90,22.1,52.4,37.2
91,21.6,51.2,37.1
92,21.3,51.9,39.6
93,22.7,51.2,40.8
94,21.7,53.5,39.1
95,20.5,50.9,38.7
96,22.4,52.4,37.8
97,21.2,52.6,36.6
98,22.4,54.6,37.3
99,20.5,50.2,37.9
100,21.8,51.7,37.7
101,21.1,52.0,37.6
102,21.1,51.6,36.1
103,21.2,54.1,37.1
104,21.2,49.1,38.6
105,22.1,52.0,38.7
106,20.3,57.6,36.0
107,20.7,51.9,35.6
108,21.6,50.6,37.1
109,21.5,54.0,39.0
110,21.8,53.9,39.1
111,22.0,53.5,39.1
112,21.3,55.2,37.8
113,22.1,49.8,38.1
114,22.3,51.9,36.3
115,20.3,51.2,38.6
116,21.0,49.1,37.2
117,21.0,53.9,36.1
118,21.6,52.3,34.7
119,21.1,50.8,38.5
120,20.6,56.1,38.4
121,20.8,52.5,39.2
122,22.4,54.1,39.0
123,20.4,52.4,38.3
124,21.3,55.8,37.3
125,21.8,53.3,38.6
126,20.8,53.3,37.1
127,21.9,53.9,37.2
128,22.3,53.0,38.7
129,21.2,53.2,38.3
130,20.6,54.4,38.9
131,21.2,53.5,37.9
132,21.4,54.8,38.8
133,21.5,51.4,37.7
134,21.1,52.8,37.2
135,21.4,51.0,38.8
136,21.5,55.0,39.1
137,20.6,51.7,39.4
138,20.1,52.1,37.6
139,20.9,50.6,37.0
140,20.0,55.5,37.0
141,21.7,54.3,36.9
142,21.5,51.8,38.5
143,22.0,54.1,39.4
144,20.9,53.0,37.4
145,21.5,51.4,39.0
146,21.3,55.5,38.1
147,21.8,55.7,39.0
148,21.3,52.6,36.8
149,21.4,53.6,37.8
150,20.9,52.3,38.9
151,21.9,52.6,35.8
152,20.9,52.5,37.4
153,20.6,51.0,37.3
154,20.5,52.6,38.9
155,21.5,55.7,39.1
156,20.6,54.3,37.2
157,20.5,55.6,39.6
158,22.1,51.3,38.5
159,21.8,53.5,36.3
160,21.4,55.5,36.6
161,22.0,51.4,39.0
162,21.1,54.2,36.3
163,20.6,53.4,38.8
164,21.1,55.1,39.2
165,20.2,52.4,38.5
166,20.4,52.5,37.2
167,21.5,53.6,36.7
168,20.8,51.6,39.0
169,21.1,54.3,36.9
170,22.0,53.7,37.6
171,21.9,54.7,38.5
172,23.0,51.4,36.3
173,21.7,52.9,38.0
174,21.5,53.9,38.6
175,21.5,54.7,37.1
176,21.4,53.1,39.2
