fold,test_site,test_environment,val_site,train_sites,test_miou
1,S1,Steel-structure factory A,S3,"S2,S4,S5,S6,S7,S8,S9",70.4
2,S2,Steel-structure factory B,S3,"S1,S4,S5,S6,S7,S8,S9",70.6
3,S3,Multi-level warehouse A,S4,"S1,S2,S5,S6,S7,S8,S9",71.0
4,S4,Multi-level warehouse B,S3,"S1,S2,S5,S6,S7,S8,S9",71.2
5,S5,Multi-level warehouse C,S3,"S1,S2,S4,S6,S7,S8,S9",71.5
6,S6,Underground parking lot A,S3,"S1,S2,S4,S5,S7,S8,S9",71.8
7,S7,Underground parking lot B,S3,"S1,S2,S4,S5,S6,S8,S9",70.2
8,S8,Steel-structure factory C,S3,"S1,S2,S4,S5,S6,S7,S9",70.8
9,S9,Multi-level warehouse D,S3,"S1,S2,S4,S5,S6,S7,S8",71.1
macro_avg,,,70.96
sample_sd_pp,,,0.52
population_sd_pp,,,0.49
drop_from_primary_pp,,,2.24
