================================================================================
Experiment: DS-RangeNet (final test)
Seed: 0
Training split: S1,S2,S4,S5,S8,S9 (6 sites, site-disjoint)
Validation split: S3 (1 site)
Test split: S6,S7 (2 sites)
Projection: 64x512, range-normalized to [0,1]
Voxel PCA: 0.2m grid, 8 nearest neighbors
Training: 300 epochs, batch 8, AdamW lr=1e-3, cosine decay
Checkpoint selection: highest validation mIoU (no KNN)
KNN: k=5, window=3x3
Hardware: NVIDIA RTX 3090 (train), Jetson AGX Orin (inference)
Commit: a3f7c2e
================================================================================

--- Training curve (val mIoU %, no KNN) ---
Epoch   1 | loss 2.492 | val mIoU 32.65%
Epoch   2 | loss 2.484 | val mIoU 34.96%
Epoch   3 | loss 2.476 | val mIoU 37.69%
Epoch   4 | loss 2.468 | val mIoU 40.46%
Epoch   5 | loss 2.460 | val mIoU 42.43%
Epoch   6 | loss 2.452 | val mIoU 44.93%
Epoch   7 | loss 2.444 | val mIoU 47.97%
Epoch   8 | loss 2.436 | val mIoU 50.23%
Epoch   9 | loss 2.428 | val mIoU 52.36%
Epoch  10 | loss 2.420 | val mIoU 55.16%
Epoch  11 | loss 2.412 | val mIoU 55.36%
Epoch  12 | loss 2.404 | val mIoU 55.81%
Epoch  13 | loss 2.396 | val mIoU 56.40%
Epoch  14 | loss 2.388 | val mIoU 56.42%
Epoch  15 | loss 2.380 | val mIoU 56.91%
Epoch  16 | loss 2.372 | val mIoU 57.59%
Epoch  17 | loss 2.364 | val mIoU 57.95%
Epoch  18 | loss 2.356 | val mIoU 58.66%
Epoch  19 | loss 2.348 | val mIoU 58.87%
Epoch  20 | loss 2.340 | val mIoU 59.22%
Epoch  21 | loss 2.332 | val mIoU 60.24%
Epoch  22 | loss 2.324 | val mIoU 60.35%
Epoch  23 | loss 2.316 | val mIoU 60.86%
Epoch  24 | loss 2.308 | val mIoU 61.02%
Epoch  25 | loss 2.300 | val mIoU 61.64%
Epoch  26 | loss 2.292 | val mIoU 62.22%
Epoch  27 | loss 2.284 | val mIoU 62.42%
Epoch  28 | loss 2.276 | val mIoU 63.18%
Epoch  29 | loss 2.268 | val mIoU 63.43%
Epoch  30 | loss 2.260 | val mIoU 63.94%
Epoch  31 | loss 2.252 | val mIoU 64.33%
Epoch  32 | loss 2.244 | val mIoU 65.27%
Epoch  33 | loss 2.236 | val mIoU 65.35%
Epoch  34 | loss 2.228 | val mIoU 65.59%
Epoch  35 | loss 2.220 | val mIoU 66.41%
Epoch  36 | loss 2.212 | val mIoU 66.46%
Epoch  37 | loss 2.204 | val mIoU 67.19%
Epoch  38 | loss 2.196 | val mIoU 67.21%
Epoch  39 | loss 2.188 | val mIoU 67.78%
Epoch  40 | loss 2.180 | val mIoU 68.54%
Epoch  41 | loss 2.172 | val mIoU 69.10%
Epoch  42 | loss 2.164 | val mIoU 69.43%
Epoch  43 | loss 2.156 | val mIoU 69.83%
Epoch  44 | loss 2.148 | val mIoU 70.24%
Epoch  45 | loss 2.140 | val mIoU 70.45%
Epoch  46 | loss 2.132 | val mIoU 71.06%
Epoch  47 | loss 2.124 | val mIoU 71.56%
Epoch  48 | loss 2.116 | val mIoU 72.31%
Epoch  49 | loss 2.108 | val mIoU 72.62%
Epoch  50 | loss 2.100 | val mIoU 72.65%
Epoch  51 | loss 2.092 | val mIoU 68.15%
Epoch  52 | loss 2.084 | val mIoU 68.14%
Epoch  53 | loss 2.076 | val mIoU 68.20%
Epoch  54 | loss 2.068 | val mIoU 68.49%
Epoch  55 | loss 2.060 | val mIoU 68.65%
Epoch  56 | loss 2.052 | val mIoU 68.74%
Epoch  57 | loss 2.044 | val mIoU 68.57%
Epoch  58 | loss 2.036 | val mIoU 68.75%
Epoch  59 | loss 2.028 | val mIoU 68.95%
Epoch  60 | loss 2.020 | val mIoU 69.15%
