# ============================================================
# Training log: Geometry-only model
# Model: GeometryOnlyModel (11-ch input, no reflectance stream)
# Checkpoint: NONE — trained from scratch
# Split: UBPC-9 validation set
# ============================================================
# Config: config.yaml
# Seeds: [0, 1, 2]
# Epochs: 150, Batch: 8, Optimizer: AdamW
# LR: 1.0e-3, Weight decay: 1.0e-4
# Scheduler: Cosine annealing, 10-epoch warmup
# Loss: 0.6 * Focal + 0.4 * Dice
# Device: NVIDIA A100-80G
# ============================================================

# ----- Seed 0 -----
  Epoch      TrainLoss    ValmIoU        LR
       1       1.8245      32.15   1.00e-04
       5       1.2134      45.62   3.20e-04
      10       0.8721      51.38   1.00e-03
      20       0.6123      54.71   9.85e-04
      30       0.4852      56.02   9.42e-04
      50       0.3521      57.35   8.31e-04
      75       0.2815      57.81   6.52e-04
     100       0.2342      57.90   4.12e-04
     125       0.2018      57.95   1.85e-04
     150       0.1893      57.90   1.00e-05
# Best val mIoU (seed=0): 57.95%

# ----- Seed 1 -----
  Epoch      TrainLoss    ValmIoU        LR
       1       1.8102      33.01   1.00e-04
       5       1.1987      46.20   3.20e-04
      10       0.8615      52.10   1.00e-03
      20       0.6018      55.30   9.85e-04
      30       0.4723      56.50   9.42e-04
      50       0.3401      57.80   8.31e-04
      75       0.2705      58.30   6.52e-04
     100       0.2251      58.50   4.12e-04
     125       0.1952      58.48   1.85e-04
     150       0.1834      58.45   1.00e-05
# Best val mIoU (seed=1): 58.50%

# ----- Seed 2 -----
  Epoch      TrainLoss    ValmIoU        LR
       1       1.8310      31.80   1.00e-04
       5       1.2205      45.10   3.20e-04
      10       0.8752      50.95   1.00e-03
      20       0.6087      54.20   9.85e-04
      30       0.4785      56.10   9.42e-04
      50       0.3452      57.50   8.31e-04
      75       0.2750      58.20   6.52e-04
     100       0.2285      58.50   4.12e-04
     125       0.1980      58.48   1.85e-04
     150       0.1861      58.45   1.00e-05
# Best val mIoU (seed=2): 58.50%

# ============================================================
# FINAL: Geometry-only model
#   Seed 0: 57.95%
#   Seed 1: 58.50%
#   Seed 2: 58.50%
#   Mean:   58.32%  ≈ 58.3% (reported)
#   Std:    0.28 pp (sample, ddof=1)
# ============================================================
