# ============================================================
# Training log: Reflectance-only model
# Model: ReflectanceOnlyModel (5-ch input, no geometry stream)
# Checkpoint: NONE — trained from scratch
# Split: UBPC-9 validation set
# ============================================================
# Config: config.yaml
# Seeds: [0, 1, 2]
# Epochs: 150, Batch: 8, Optimizer: AdamW
# LR: 1.0e-3, Weight decay: 1.0e-4
# Scheduler: Cosine annealing, 10-epoch warmup
# Loss: 0.6 * Focal + 0.4 * Dice
# Device: NVIDIA A100-80G
# ============================================================

# ----- Seed 0 -----
  Epoch      TrainLoss    ValmIoU        LR
       1       1.9234      28.45   1.00e-04
       5       1.3452      41.20   3.20e-04
      10       0.9521      47.85   1.00e-03
      20       0.6834      52.10   9.85e-04
      30       0.5421      54.35   9.42e-04
      50       0.3985      55.60   8.31e-04
      75       0.3152      56.30   6.52e-04
     100       0.2687      56.50   4.12e-04
     125       0.2351      56.48   1.85e-04
     150       0.2210      56.45   1.00e-05
# Best val mIoU (seed=0): 56.50%

# ----- Seed 1 -----
  Epoch      TrainLoss    ValmIoU        LR
       1       1.9105      29.10   1.00e-04
       5       1.3308      42.05   3.20e-04
      10       0.9402      48.60   1.00e-03
      20       0.6720      52.85   9.85e-04
      30       0.5310      55.00   9.42e-04
      50       0.3890      56.30   8.31e-04
      75       0.3055      56.80   6.52e-04
     100       0.2601      57.00   4.12e-04
     125       0.2285      56.95   1.85e-04
     150       0.2145      56.90   1.00e-05
# Best val mIoU (seed=1): 57.00%

# ----- Seed 2 -----
  Epoch      TrainLoss    ValmIoU        LR
       1       1.9380      28.20   1.00e-04
       5       1.3520      41.50   3.20e-04
      10       0.9605      47.50   1.00e-03
      20       0.6901      51.80   9.85e-04
      30       0.5485      54.10   9.42e-04
      50       0.4020      55.80   8.31e-04
      75       0.3180      56.50   6.52e-04
     100       0.2715      56.90   4.12e-04
     125       0.2380      56.85   1.85e-04
     150       0.2230      56.80   1.00e-05
# Best val mIoU (seed=2): 56.90%

# ============================================================
# FINAL: Reflectance-only model
#   Seed 0: 56.50%
#   Seed 1: 57.00%
#   Seed 2: 56.90%
#   Mean:   56.80%  ≈ 56.8% (reported)
#   Std:    0.21 pp (sample, ddof=1)
# ============================================================
