seed,layer_pair,n_frames,tokens_per_frame,linear_cka,normalized_cross_cov
0,input_modalities,10,4096,0.107,0.091
0,independent_encoders,10,4096,0.183,0.14
0,after_cbam,10,4096,0.413,0.325
0,after_igca,10,4096,0.631,0.536
0,early_concat_fusion,10,4096,0.714,0.609
1,input_modalities,10,4096,0.104,0.087
1,independent_encoders,10,4096,0.189,0.134
1,after_cbam,10,4096,0.411,0.331
1,after_igca,10,4096,0.625,0.525
1,early_concat_fusion,10,4096,0.723,0.616
2,input_modalities,10,4096,0.099,0.094
2,independent_encoders,10,4096,0.187,0.132
2,after_cbam,10,4096,0.416,0.336
2,after_igca,10,4096,0.638,0.528
2,early_concat_fusion,10,4096,0.707,0.611
3,input_modalities,10,4096,0.108,0.091
3,independent_encoders,10,4096,0.174,0.13
3,after_cbam,10,4096,0.425,0.33
3,after_igca,10,4096,0.633,0.519
3,early_concat_fusion,10,4096,0.723,0.612
4,input_modalities,10,4096,0.11,0.082
4,independent_encoders,10,4096,0.188,0.139
4,after_cbam,10,4096,0.415,0.321
4,after_igca,10,4096,0.627,0.513
4,early_concat_fusion,10,4096,0.709,0.605
