experiment_id,checkpoint_file,sha256,validation_status
rangeformer_0,rangeformer_seed0_ep139_miou67.52.pth,b8e378b797067264035adb9e0e1b9dc0740e987aaa14eeeac6c82225cbf1f74f,VERIFIED
rangeformer_1,rangeformer_seed1_ep141_miou66.83.pth,aebe414cddc6e2fae0e45c334600b900298e5c3f9031658b45884b72c52cd83d,VERIFIED
rangeformer_2,rangeformer_seed2_ep130_miou67.40.pth,d7715090997e8cbe64241a8e384217003bdf05996e4e373142e14b7c476c49e0,VERIFIED
rangeformer_3,rangeformer_seed3_ep126_miou66.71.pth,228621164ed6a1f2f3061b1f89a8e0a446458487461f6617f63a3227907abf9a,VERIFIED
rangeformer_4,rangeformer_seed4_ep134_miou67.03.pth,59c7dec085b49269c17030b99fab718d04353fc605b40a449d88463530be8263,VERIFIED
convca_0,convca_seed0_ep134_miou71.50.pth,c9b0bd6e8d7faa1678ffabe4c218d9fa265ab639721e774f9d183fadb8463d0d,VERIFIED
convca_1,convca_seed1_ep133_miou71.09.pth,ebe34e53735553e5678696a1b1967848747013c2ae436866bdf319fc1fcfd94e,VERIFIED
convca_2,convca_seed2_ep134_miou71.49.pth,84cb7aa1805eb78ead01a03f59966b234893fd3f56fdb8f457e9fa541dfe1063,VERIFIED
convca_3,convca_seed3_ep142_miou71.11.pth,0bab89fc25d1fb9afa5635ed5c73978c6a978e82434930db66c861dc64e6c93f,VERIFIED
convca_4,convca_seed4_ep127_miou71.42.pth,5fb31d948325c47e546446078917729f796e20dc0420ef84a06006ed189ef4af,VERIFIED
ds_0,ds_rangenet_seed0_ep138_miou73.16.pth,323698b1a824f6a4ad0857fe6db7f357fded62182def568697980f7914fd0258,VERIFIED
ds_1,ds_rangenet_seed1_ep137_miou72.86.pth,a04d48be1a6416631f0f5919a28ca8f566fd9ebcdc4f26574523f720abc10868,VERIFIED
ds_2,ds_rangenet_seed2_ep127_miou73.15.pth,d0cf83e9ce93c30755c84c11c51aca3a812bea229a814b19c40ae93d98c4ca81,VERIFIED
ds_3,ds_rangenet_seed3_ep146_miou72.90.pth,abefbafe1c4dcdd79815656deada837ff9c336a991f98dae5d6f1a81cf4a2d49,VERIFIED
ds_4,ds_rangenet_seed4_ep129_miou73.18.pth,72608b5d0a0f6693212e0e2a190c3a8e98bf5194190a6de5fcf2c698495f1545,VERIFIED
dsconv_a,ds_rangenet_dsconv_A_seed0_ep112_miou56.80.pth,3b8bb634091fcfedbe0e3de01aec79bc897c6ca8df49f20c4a90372f74cfb8e4,VERIFIED
dsconv_b,ds_rangenet_dsconv_B_seed0_ep118_miou58.30.pth,f8219a44ea5ea5a98ddeb6ccb53b037f78d5f2e779f9b53583938eb6bcf19097,VERIFIED
dsconv_c,ds_rangenet_dsconv_C_seed0_ep125_miou62.50.pth,e16490eb071b92688d4b8505653e07f45dab97fc091cefc70dc06e810a951884,VERIFIED
dsconv_d,ds_rangenet_dsconv_D_seed0_ep130_miou64.80.pth,b90a50d21ab6c9f017d28d1d0b77320664eb6ce4b80e112170d73fdebf2d2da9,VERIFIED
dsconv_e,ds_rangenet_dsconv_E_seed0_ep133_miou66.30.pth,096457990ae32bd26792c7fd425a5dd87a66168aef2235328987736c93026782,VERIFIED
full_f,ds_rangenet_full_F_seed0_ep118_miou69.10.pth,5c120cc59986711f3ee5cfffbd4cd4ea25f9407cadd653b46d0c21d2fb6cccce,VERIFIED
full_g,ds_rangenet_full_G_seed0_ep128_miou71.00.pth,e6f9d72176ef9913ebb700da30fa7023366b0c3ecf7f6f2e4642f2b1d55251a1,VERIFIED
full_h,ds_rangenet_full_H_seed0_ep134_miou72.40.pth,b1455581d9385f9ded5d7a49e8acaced47e2ff6123bd375d2d71ed695dfc89e6,VERIFIED
full_i,ds_rangenet_full_I_seed0_ep138_miou73.18.pth,4c6f0d10d667679fbe21368f38ba195875288e856eb2ee794835937b4b76328c,VERIFIED
igca,ds_rangenet_igca_seed0_ep130_miou71.60.pth,dfabddedf1233b1f3fdf1637e341ab4e07c3e99e4a5dfe125e361cdaa0dacae4,VERIFIED
loss,ds_rangenet_loss_seed0_ep132_miou71.60.pth,f791db0f9b05fed4f3953026a96b8bc2d261937960d80827571114d9584910fb,VERIFIED
attention,ds_rangenet_attn_seed0_ep136_miou73.20.pth,dbd7fc2c26c3fcf4841286f3933d329bca7cc78bb9d2cff156e94737ec2f5f00,VERIFIED
helios_zero,ds_rangenet_helios_0shot_seed0_ep140_miou66.90.pth,f9709b13a2cbf24d3894e695708b86e636e6dcfa9d25fc2f84265d710eabd67f,VERIFIED
helios_ft,ds_rangenet_helios_ft_seed0_ep85_miou69.82.pth,62ebe268ab9c20f5a51ea2a79d2766cc232937e169b0fba7f6047542bd495c9b,VERIFIED
