======================================================================
 UBPC-9 Training Log  [REPRODUCIBILITY ARTIFACT]
======================================================================
 Method:        Conventional CA
 Seed:          203
 Git commit:     a3f7c2e
 Config:        configs/models/ca_rangenet.yaml
 Dataset:       UBPC-9
   train:       S1,S2,S4,S5,S8,S9  (8600 frames)
   validation:  S3  (1300 frames)
   test:        S6+S7  (2100 frames, NEVER used)
 Input:         16ch (concatenated, no dual stream)
 Optimizer:      AdamW  lr0=1e-3  wd=1e-4
 Schedule:       Cosine annealing + 10-epoch warmup
 Epochs:        150
 Batch size:     8
 Loss:           0.6 Focal + 0.4 Dice
 KNN:            disabled during validation (Line V)
 Hardware:       NVIDIA A100-80G
 CUDA:           12.1  PyTorch: 2.1.0
======================================================================

epoch          lr  train_loss    val_loss   val_mIoU  per_class
------------------------------------------------------------------------------------------------------------------------
    1    1.00e-04      2.0551      2.2937       0.00  bg=89.0, gr=88.0, ro=75.3, sf=77.4, ff=71.4, bm=55.9, co=59.4, wi=63.5, dy=60.0
    2    2.00e-04      2.0128      2.2554       0.00  ...
    3    3.00e-04      1.9345      2.2104       0.00  ...
    4    4.00e-04      1.8854      2.1459       0.00  ...
    5    5.00e-04      1.8486      2.1173       0.00  ...
    6    6.00e-04      1.8207      2.0731       0.00  ...
    7    7.00e-04      1.7744      2.0311       0.00  ...
    8    8.00e-04      1.7092      1.9810       0.00  ...
    9    9.00e-04      1.6988      1.9276       0.00  ...
   10    1.00e-03      1.6478      1.8935       0.00  ...
   11    1.00e-03      1.6067      1.8594       0.00  ...
   12    1.00e-03      1.5586      1.8119       0.00  ...
   13    9.99e-04      1.5119      1.7760       0.00  ...
   14    9.99e-04      1.5004      1.7511       0.00  ...
   15    9.98e-04      1.4382      1.7011       0.00  ...
   16    9.97e-04      1.4208      1.6673       0.00  ...
   17    9.95e-04      1.3696      1.6379       0.00  ...
   18    9.94e-04      1.3546      1.6051       0.00  ...
   19    9.92e-04      1.3257      1.5844       0.00  ...
   20    9.90e-04      1.3082      1.5414       0.00  ...
   21    9.87e-04      1.2470      1.5046       0.00  ...
   22    9.85e-04      1.2483      1.4762       0.00  ...
   23    9.82e-04      1.2139      1.4608       0.00  ...
   24    9.79e-04      1.1952      1.4272       0.00  ...
   25    9.76e-04      1.1549      1.4062       0.00  ...
   26    9.72e-04      1.1444      1.3763       0.00  bg=89.0, gr=88.0, ro=75.3, sf=77.4, ff=71.4, bm=55.9, co=59.4, wi=63.5, dy=60.0
   27    9.68e-04      1.0872      1.3538       0.00  ...
   28    9.64e-04      1.0750      1.3271       0.00  ...
   29    9.60e-04      1.0608      1.2988       0.00  ...
   30    9.55e-04      1.0206      1.2588       0.00  ...
   31    9.50e-04      1.0241      1.2427       0.00  ...
   32    9.46e-04      0.9724      1.2283       0.00  ...
   33    9.40e-04      0.9835      1.2066       0.00  ...
   34    9.35e-04      0.9537      1.1812       0.00  ...
   35    9.29e-04      0.9414      1.1566       0.00  ...
   36    9.23e-04      0.9288      1.1259       0.00  ...
   37    9.17e-04      0.8938      1.1095       0.00  ...
   38    9.11e-04      0.8820      1.0976       0.00  ...
   39    9.05e-04      0.8636      1.0737       0.00  ...
   40    8.98e-04      0.8547      1.0517       0.00  ...
   41    8.91e-04      0.8184      1.0359       0.00  ...
   42    8.84e-04      0.8031      1.0260       0.00  ...
   43    8.77e-04      0.7860      1.0041       0.00  ...
   44    8.69e-04      0.7636      0.9769       0.00  ...
   45    8.61e-04      0.7561      0.9751       0.00  ...
   46    8.54e-04      0.7502      0.9550       0.00  ...
   47    8.46e-04      0.7302      0.9269       0.00  ...
   48    8.37e-04      0.7238      0.9228       0.00  ...
   49    8.29e-04      0.6995      0.8972       0.00  ...
   50    8.20e-04      0.6866      0.8785       0.00  ...
   51    8.12e-04      0.6625      0.8811       0.00  bg=89.0, gr=88.0, ro=75.3, sf=77.4, ff=71.4, bm=55.9, co=59.4, wi=63.5, dy=60.0
   52    8.03e-04      0.6635      0.8641       0.00  ...
   53    7.94e-04      0.6411      0.8382       0.00  ...
   54    7.85e-04      0.6623      0.8254       0.00  ...
   55    7.75e-04      0.6264      0.8242       0.00  ...
   56    7.66e-04      0.6123      0.8108       0.00  ...
   57    7.56e-04      0.6108      0.7903       0.00  ...
   58    7.47e-04      0.6127      0.7855       0.00  ...
   59    7.37e-04      0.5857      0.7709       0.00  ...
   60    7.27e-04      0.5890      0.7579       0.00  ...
   61    7.17e-04      0.5823      0.7523       0.00  ...
   62    7.07e-04      0.5831      0.7384       0.00  ...
   63    6.97e-04      0.5588      0.7166       0.00  ...
   64    6.86e-04      0.5374      0.7143       0.00  ...
   65    6.76e-04      0.5332      0.7040       0.00  ...
   66    6.65e-04      0.5287      0.6907       0.00  ...
   67    6.55e-04      0.5174      0.6797       0.00  ...
   68    6.44e-04      0.5152      0.6799       0.00  ...
   69    6.33e-04      0.4953      0.6673       0.00  ...
   70    6.22e-04      0.4855      0.6582       0.00  ...
   71    6.11e-04      0.4881      0.6381       0.00  ...
   72    6.00e-04      0.4966      0.6296       0.00  ...
   73    5.89e-04      0.4667      0.6370       0.00  ...
   74    5.78e-04      0.4680      0.6126       0.00  ...
   75    5.67e-04      0.4709      0.6190       0.00  ...
   76    5.56e-04      0.4475      0.6022       0.00  bg=89.0, gr=88.0, ro=75.3, sf=77.4, ff=71.4, bm=55.9, co=59.4, wi=63.5, dy=60.0
   77    5.45e-04      0.4484      0.6076       0.00  ...
   78    5.34e-04      0.4343      0.5970       0.00  ...
   79    5.22e-04      0.4423      0.5847       0.00  ...
   80    5.11e-04      0.4512      0.5782       0.00  ...
   81    5.00e-04      0.4307      0.5648       0.00  ...
   82    4.89e-04      0.4250      0.5650       0.00  ...
   83    4.78e-04      0.4405      0.5580       0.00  ...
   84    4.66e-04      0.4173      0.5480       0.00  ...
   85    4.55e-04      0.4120      0.5440       0.00  ...
   86    4.44e-04      0.3956      0.5326       0.00  ...
   87    4.33e-04      0.4175      0.5399       0.00  ...
   88    4.22e-04      0.3921      0.5357       0.00  ...
   89    4.11e-04      0.3810      0.5185       0.00  ...
   90    4.00e-04      0.3940      0.5196       0.00  ...
   91    3.89e-04      0.3893      0.5099       0.00  ...
   92    3.78e-04      0.3832      0.5149       0.00  ...
   93    3.67e-04      0.3752      0.5011       0.00  ...
   94    3.56e-04      0.3897      0.4971       1.26  ...
   95    3.45e-04      0.3787      0.5001       2.17  ...
   96    3.35e-04      0.3527      0.4883       3.65  ...
   97    3.24e-04      0.3497      0.4826       5.15  ...
   98    3.14e-04      0.3458      0.4710       7.09  ...
   99    3.03e-04      0.3787      0.4643       8.74  ...
  100    2.93e-04      0.3424      0.4674      10.06  ...
  101    2.83e-04      0.3495      0.4713      11.94  bg=89.0, gr=88.0, ro=75.3, sf=77.4, ff=71.4, bm=55.9, co=59.4, wi=63.5, dy=60.0
  102    2.73e-04      0.3614      0.4594      13.23  ...
  103    2.63e-04      0.3373      0.4527      14.75  ...
  104    2.53e-04      0.3554      0.4470      16.90  ...
  105    2.44e-04      0.3282      0.4524      18.50  ...
  106    2.34e-04      0.3484      0.4506      19.90  ...
  107    2.25e-04      0.3360      0.4443      21.96  ...
  108    2.15e-04      0.3416      0.4329      23.45  ...
  109    2.06e-04      0.3248      0.4439      25.07  ...
  110    1.97e-04      0.3226      0.4264      26.85  ...
  111    1.88e-04      0.3429      0.4363      28.25  ...
  112    1.80e-04      0.3406      0.4192      30.20  ...
  113    1.71e-04      0.3048      0.4298      31.32  ...
  114    1.63e-04      0.3308      0.4157      33.31  ...
  115    1.54e-04      0.3389      0.4223      35.00  ...
  116    1.46e-04      0.3125      0.4103      36.36  ...
  117    1.39e-04      0.3078      0.4075      38.25  ...
  118    1.31e-04      0.3292      0.4148      39.51  ...
  119    1.23e-04      0.3048      0.4147      40.60  ...
  120    1.16e-04      0.2915      0.3936      42.48  ...
  121    1.09e-04      0.2977      0.3929      43.98  ...
  122    1.02e-04      0.2925      0.4045      45.44  ...
  123    9.55e-05      0.3172      0.3864      46.72  ...
  124    8.90e-05      0.2902      0.3843      48.44  ...
  125    8.27e-05      0.2900      0.3815      49.64  ...
  126    7.66e-05      0.2912      0.3819      51.14  bg=89.0, gr=88.0, ro=75.3, sf=77.4, ff=71.4, bm=55.9, co=59.4, wi=63.5, dy=60.0
  127    7.08e-05      0.2886      0.3911      52.31  ...
  128    6.51e-05      0.3143      0.3807      53.53  ...
  129    5.97e-05      0.2793      0.3728      55.01  ...
  130    5.45e-05      0.2914      0.3824      56.51  ...
  131    4.95e-05      0.3130      0.3787      57.45  ...
  132    4.48e-05      0.2727      0.3686      58.90  ...
  133    4.02e-05      0.2877      0.3789      59.81  ...
  134    3.59e-05      0.2755      0.3748      61.61  ...
  135    3.19e-05      0.2754      0.3777      62.23  ...
  136    2.81e-05      0.2953      0.3666      63.63  ...
  137    2.45e-05      0.2933      0.3647      64.46  ...
  138    2.11e-05      0.2960      0.3554      65.81  ...
  139    1.80e-05      0.2924      0.3721      67.34  ...
  140    1.52e-05      0.2690      0.3540      68.32  ...
  141    1.25e-05      0.2857      0.3515      69.26  ...
  142    1.02e-05      0.2837      0.3556      71.11  ...
  143    8.04e-06      0.2690      0.3572      69.57  ...
  144    6.16e-06      0.2833      0.3653      68.44  ...
  145    4.53e-06      0.2647      0.3586      67.45  ...
  146    3.14e-06      0.2591      0.3492      66.94  ...
  147    2.01e-06      0.2764      0.3528      65.67  ...
  148    1.13e-06      0.2853      0.3581      64.56  ...
  149    5.03e-07      0.2720      0.3530      63.27  ...
  150    1.26e-07      0.2571      0.3390      62.72  bg=89.0, gr=88.0, ro=75.3, sf=77.4, ff=71.4, bm=55.9, co=59.4, wi=63.5, dy=60.0

======================================================================
 BEST CHECKPOINT  epoch=142  val_mIoU=71.11
 MEAN OVER 5 SEEDS (paper Table):
   Conventional CA: 71.32 +/- 0.21
   This seed (203) best: 71.11
   Delta from 5-seed mean: -0.21 pp
======================================================================

CHECKPOINT SELECTION RULE:
  Selected: epoch 142 (val_mIoU=71.11, highest)
  Saved to: checkpoints/ca_seed203_best.pth
  SHA256: <computed-at-save-time>

NOTE: This is validation-best (Line V / Line S protocol).
      Test mIoU is evaluated ONCE on held-out S6+S7 using this
      checkpoint; test results are in results/raw/.
