======================================================================
 UBPC-9 Training Log  [REPRODUCIBILITY ARTIFACT]
======================================================================
 Method:        DS-RangeNet
 Seed:          304
 Git commit:     a3f7c2e
 Config:        configs/models/ds_rangenet.yaml
 Dataset:       UBPC-9
   train:       S1,S2,S4,S5,S8,S9  (8600 frames)
   validation:  S3  (1300 frames)
   test:        S6+S7  (2100 frames, NEVER used)
 Input:         16ch dual-stream (5ch material + 11ch geometry)
 Optimizer:      AdamW  lr0=1e-3  wd=1e-4
 Schedule:       Cosine annealing + 10-epoch warmup
 Epochs:        150
 Batch size:     8
 Loss:           0.6 Focal + 0.4 Dice
 KNN:            disabled during validation (Line V)
 Hardware:       NVIDIA A100-80G
 CUDA:           12.1  PyTorch: 2.1.0
======================================================================

epoch          lr  train_loss    val_loss   val_mIoU  per_class
------------------------------------------------------------------------------------------------------------------------
    1    1.00e-04      2.0360      2.3045       0.00  bg=88.4, gr=89.4, ro=77.4, sf=78.6, ff=73.6, bm=60.5, co=63.1, wi=66.2, dy=61.3
    2    2.00e-04      1.9985      2.2414       0.00  ...
    3    3.00e-04      1.9535      2.2041       0.00  ...
    4    4.00e-04      1.9070      2.1514       0.00  ...
    5    5.00e-04      1.8733      2.1125       0.00  ...
    6    6.00e-04      1.8215      2.0738       0.00  ...
    7    7.00e-04      1.7779      2.0133       0.00  ...
    8    8.00e-04      1.7176      1.9762       0.00  ...
    9    9.00e-04      1.7007      1.9298       0.00  ...
   10    1.00e-03      1.6295      1.8976       0.00  ...
   11    1.00e-03      1.5929      1.8535       0.00  ...
   12    1.00e-03      1.5634      1.8208       0.00  ...
   13    9.99e-04      1.5416      1.7834       0.00  ...
   14    9.99e-04      1.5065      1.7386       0.00  ...
   15    9.98e-04      1.4600      1.7033       0.00  ...
   16    9.97e-04      1.4390      1.6666       0.00  ...
   17    9.95e-04      1.4057      1.6424       0.00  ...
   18    9.94e-04      1.3762      1.6036       0.00  ...
   19    9.92e-04      1.3074      1.5685       0.00  ...
   20    9.90e-04      1.3074      1.5511       0.00  ...
   21    9.87e-04      1.2804      1.5055       0.00  ...
   22    9.85e-04      1.2267      1.4761       0.00  ...
   23    9.82e-04      1.2015      1.4546       0.00  ...
   24    9.79e-04      1.1850      1.4330       0.00  ...
   25    9.76e-04      1.1547      1.3903       0.00  ...
   26    9.72e-04      1.1353      1.3654       0.00  bg=88.4, gr=89.4, ro=77.4, sf=78.6, ff=73.6, bm=60.5, co=63.1, wi=66.2, dy=61.3
   27    9.68e-04      1.1011      1.3371       0.00  ...
   28    9.64e-04      1.0718      1.3138       0.00  ...
   29    9.60e-04      1.0761      1.3030       0.00  ...
   30    9.55e-04      1.0233      1.2657       0.00  ...
   31    9.50e-04      1.0233      1.2387       0.00  ...
   32    9.46e-04      0.9791      1.2173       0.00  ...
   33    9.40e-04      0.9599      1.1971       0.00  ...
   34    9.35e-04      0.9576      1.1743       0.00  ...
   35    9.29e-04      0.9428      1.1479       0.00  ...
   36    9.23e-04      0.8947      1.1406       0.00  ...
   37    9.17e-04      0.8966      1.1141       0.00  ...
   38    9.11e-04      0.8780      1.0848       0.00  ...
   39    9.05e-04      0.8429      1.0731       0.00  ...
   40    8.98e-04      0.8360      1.0634       0.00  ...
   41    8.91e-04      0.8306      1.0328       0.00  ...
   42    8.84e-04      0.8242      1.0166       0.00  ...
   43    8.77e-04      0.8026      1.0074       0.00  ...
   44    8.69e-04      0.7785      0.9813       0.00  ...
   45    8.61e-04      0.7461      0.9693       0.00  ...
   46    8.54e-04      0.7582      0.9475       0.00  ...
   47    8.46e-04      0.7244      0.9386       0.00  ...
   48    8.37e-04      0.7053      0.9192       0.00  ...
   49    8.29e-04      0.7076      0.8952       0.00  ...
   50    8.20e-04      0.6899      0.8785       0.00  ...
   51    8.12e-04      0.6800      0.8804       0.00  bg=88.4, gr=89.4, ro=77.4, sf=78.6, ff=73.6, bm=60.5, co=63.1, wi=66.2, dy=61.3
   52    8.03e-04      0.6677      0.8623       0.00  ...
   53    7.94e-04      0.6598      0.8504       0.00  ...
   54    7.85e-04      0.6602      0.8319       0.00  ...
   55    7.75e-04      0.6231      0.8242       0.00  ...
   56    7.66e-04      0.6318      0.8097       0.00  ...
   57    7.56e-04      0.6066      0.7902       0.00  ...
   58    7.47e-04      0.6184      0.7814       0.00  ...
   59    7.37e-04      0.5826      0.7611       0.00  ...
   60    7.27e-04      0.5870      0.7638       0.00  ...
   61    7.17e-04      0.5834      0.7400       0.00  ...
   62    7.07e-04      0.5499      0.7445       0.00  ...
   63    6.97e-04      0.5400      0.7206       0.00  ...
   64    6.86e-04      0.5454      0.7164       0.00  ...
   65    6.76e-04      0.5221      0.7071       0.00  ...
   66    6.65e-04      0.5180      0.6945       0.00  ...
   67    6.55e-04      0.5415      0.6770       0.00  ...
   68    6.44e-04      0.5317      0.6655       0.00  ...
   69    6.33e-04      0.5091      0.6554       0.00  ...
   70    6.22e-04      0.5187      0.6475       0.00  ...
   71    6.11e-04      0.4741      0.6539       0.00  ...
   72    6.00e-04      0.4832      0.6454       0.00  ...
   73    5.89e-04      0.4882      0.6212       0.00  ...
   74    5.78e-04      0.4678      0.6316       0.00  ...
   75    5.67e-04      0.4648      0.6224       0.00  ...
   76    5.56e-04      0.4425      0.6030       0.00  bg=88.4, gr=89.4, ro=77.4, sf=78.6, ff=73.6, bm=60.5, co=63.1, wi=66.2, dy=61.3
   77    5.45e-04      0.4680      0.5942       0.00  ...
   78    5.34e-04      0.4619      0.5818       0.98  ...
   79    5.22e-04      0.4479      0.5945       2.50  ...
   80    5.11e-04      0.4285      0.5771       3.72  ...
   81    5.00e-04      0.4385      0.5640       4.80  ...
   82    4.89e-04      0.4186      0.5556       6.30  ...
   83    4.78e-04      0.4422      0.5488       8.05  ...
   84    4.66e-04      0.4264      0.5547       9.38  ...
   85    4.55e-04      0.4302      0.5440      11.12  ...
   86    4.44e-04      0.4211      0.5478      12.73  ...
   87    4.33e-04      0.4232      0.5412      14.08  ...
   88    4.22e-04      0.4176      0.5181      15.84  ...
   89    4.11e-04      0.3872      0.5196      17.55  ...
   90    4.00e-04      0.3847      0.5235      19.07  ...
   91    3.89e-04      0.3808      0.5116      20.95  ...
   92    3.78e-04      0.3775      0.5023      22.18  ...
   93    3.67e-04      0.3632      0.5082      23.82  ...
   94    3.56e-04      0.3671      0.4874      25.54  ...
   95    3.45e-04      0.3579      0.4870      27.24  ...
   96    3.35e-04      0.3717      0.4875      28.68  ...
   97    3.24e-04      0.3557      0.4720      30.40  ...
   98    3.14e-04      0.3605      0.4713      31.85  ...
   99    3.03e-04      0.3637      0.4817      33.63  ...
  100    2.93e-04      0.3475      0.4668      35.30  ...
  101    2.83e-04      0.3572      0.4586      36.69  bg=88.4, gr=89.4, ro=77.4, sf=78.6, ff=73.6, bm=60.5, co=63.1, wi=66.2, dy=61.3
  102    2.73e-04      0.3674      0.4619      38.37  ...
  103    2.63e-04      0.3493      0.4501      39.86  ...
  104    2.53e-04      0.3472      0.4469      41.68  ...
  105    2.44e-04      0.3484      0.4574      42.90  ...
  106    2.34e-04      0.3528      0.4384      44.58  ...
  107    2.25e-04      0.3219      0.4336      45.89  ...
  108    2.15e-04      0.3352      0.4350      47.23  ...
  109    2.06e-04      0.3432      0.4284      48.82  ...
  110    1.97e-04      0.3118      0.4302      50.20  ...
  111    1.88e-04      0.3111      0.4311      51.61  ...
  112    1.80e-04      0.3215      0.4168      52.76  ...
  113    1.71e-04      0.3149      0.4298      53.96  ...
  114    1.63e-04      0.3033      0.4265      55.35  ...
  115    1.54e-04      0.3212      0.4092      56.52  ...
  116    1.46e-04      0.3202      0.4113      57.79  ...
  117    1.39e-04      0.2993      0.4034      59.21  ...
  118    1.31e-04      0.3099      0.4036      60.42  ...
  119    1.23e-04      0.3121      0.3994      61.53  ...
  120    1.16e-04      0.3072      0.4093      62.81  ...
  121    1.09e-04      0.3207      0.4081      64.08  ...
  122    1.02e-04      0.2898      0.4069      65.01  ...
  123    9.55e-05      0.3010      0.3958      66.29  ...
  124    8.90e-05      0.2843      0.3927      67.19  ...
  125    8.27e-05      0.2986      0.3870      68.39  ...
  126    7.66e-05      0.3019      0.3916      69.40  bg=88.4, gr=89.4, ro=77.4, sf=78.6, ff=73.6, bm=60.5, co=63.1, wi=66.2, dy=61.3
  127    7.08e-05      0.2841      0.3770      70.40  ...
  128    6.51e-05      0.2819      0.3751      71.73  ...
  129    5.97e-05      0.2793      0.3756      73.18  ...
  130    5.45e-05      0.2948      0.3821      71.65  ...
  131    4.95e-05      0.3098      0.3821      70.77  ...
  132    4.48e-05      0.2754      0.3836      69.89  ...
  133    4.02e-05      0.2963      0.3689      69.02  ...
  134    3.59e-05      0.2773      0.3642      67.87  ...
  135    3.19e-05      0.2829      0.3690      67.32  ...
  136    2.81e-05      0.2980      0.3722      66.10  ...
  137    2.45e-05      0.2868      0.3571      65.33  ...
  138    2.11e-05      0.2674      0.3557      64.01  ...
  139    1.80e-05      0.2772      0.3574      62.99  ...
  140    1.52e-05      0.2897      0.3596      62.19  ...
